file_name,read_group_id,library_selection,library_strand
94aed038-cec3-4916-9f17-d6e6ff892810.rna_seq.genomic.gdc_realn.bam,3f935348-1966-41b0-9316-d477dabdb505,Other,N/A
94aed038-cec3-4916-9f17-d6e6ff892810.rna_seq.genomic.gdc_realn.bam,e4ea7f9c-bc02-41f7-831f-f27ee9258c8a,Poly-T Enrichment,
1306b45e-2874-4d57-891a-b8860cc86889.rna_seq.genomic.gdc_realn.bam,94f946aa-c88f-4971-a0f2-44e9c6fe2a87,Poly-T Enrichment,
1306b45e-2874-4d57-891a-b8860cc86889.rna_seq.genomic.gdc_realn.bam,ade4a731-d0d0-4289-b7f0-daac0788f114,Other,N/A
87f47ee2-c51d-417c-b7e0-7c3727a70b77.rna_seq.genomic.gdc_realn.bam,d400ab7b-d1f4-42de-bf42-d574ac46bd12,Other,N/A
87f47ee2-c51d-417c-b7e0-7c3727a70b77.rna_seq.genomic.gdc_realn.bam,78a4584a-cdad-4c63-b605-b3e2b98ebd67,Poly-T Enrichment,
21654c4d-0761-458f-8c4b-9e392f23658d.rna_seq.genomic.gdc_realn.bam,36f00f68-bea1-4f03-b131-1bb50c88d141,Poly-T Enrichment,
21654c4d-0761-458f-8c4b-9e392f23658d.rna_seq.genomic.gdc_realn.bam,95689034-586e-4c62-9d26-08eb06717eef,Other,N/A
39b8b57e-a82b-44d4-ae57-1661be5119b6.rna_seq.genomic.gdc_realn.bam,392e897a-dc45-4871-a560-8f24c7cc2e19,Other,N/A
39b8b57e-a82b-44d4-ae57-1661be5119b6.rna_seq.genomic.gdc_realn.bam,0d850df6-a8d1-4b4c-85f2-9fa3de38df9d,Poly-T Enrichment,
5c75138e-7728-4d64-862d-71591d54fcd7.rna_seq.genomic.gdc_realn.bam,8c833a2e-4f99-4766-befe-a60dd2afa3df,Other,N/A
5c75138e-7728-4d64-862d-71591d54fcd7.rna_seq.genomic.gdc_realn.bam,016da853-e501-48da-ab02-5b8f45c4ad6f,Poly-T Enrichment,
246ed8d0-d28c-4306-bc72-4f9236b5a4ee.rna_seq.genomic.gdc_realn.bam,97c01c63-88d5-4d5b-bbb1-cdf637e54b2a,Poly-T Enrichment,
246ed8d0-d28c-4306-bc72-4f9236b5a4ee.rna_seq.genomic.gdc_realn.bam,bbcb129c-217a-41fd-9401-4bb3a2bef543,Other,N/A
48511e7f-2410-40ce-903e-502ce0a6161a.rna_seq.genomic.gdc_realn.bam,5d3e1207-31e0-4c7b-9e29-66ba860221df,Other,N/A
48511e7f-2410-40ce-903e-502ce0a6161a.rna_seq.genomic.gdc_realn.bam,d6d7a4b9-93f3-4092-9bea-e25fa89d51e9,Poly-T Enrichment,
a67b2e08-6a66-4c3d-aafe-3de831f9c2ad.rna_seq.genomic.gdc_realn.bam,78b9cbc7-aabf-4297-b0bd-fe12f0300bb2,Other,N/A
a67b2e08-6a66-4c3d-aafe-3de831f9c2ad.rna_seq.genomic.gdc_realn.bam,b81a0195-168c-4133-aa91-fb34bfcfa274,Poly-T Enrichment,
31d1c626-5bf7-4da3-9256-93fdb624192b.rna_seq.genomic.gdc_realn.bam,ffc12fc8-abfa-4396-a66a-bb8de82c890f,Poly-T Enrichment,
31d1c626-5bf7-4da3-9256-93fdb624192b.rna_seq.genomic.gdc_realn.bam,461d6654-a121-42af-af85-be19ed2c8850,Other,N/A
66997007-7636-487f-a6b4-c5d52cb101e4.rna_seq.genomic.gdc_realn.bam,66fb0c24-1ef3-4e8b-a53d-f367dea4ca01,Poly-T Enrichment,
66997007-7636-487f-a6b4-c5d52cb101e4.rna_seq.genomic.gdc_realn.bam,0355a9bb-5a77-4d61-bccf-9867cf99e33f,Other,N/A
580da070-1758-447d-a572-6c2ed09a2343.rna_seq.genomic.gdc_realn.bam,f2837bef-8e7f-4d43-bd74-6f3c4eedcfec,Other,N/A
580da070-1758-447d-a572-6c2ed09a2343.rna_seq.genomic.gdc_realn.bam,3000c893-8545-4cb1-8059-245f3a736776,Poly-T Enrichment,
d4df0033-66b2-47ca-81f6-f2496be1fcd1.rna_seq.genomic.gdc_realn.bam,d355a316-c062-4eb2-ae30-237985caf8f6,Other,N/A
d4df0033-66b2-47ca-81f6-f2496be1fcd1.rna_seq.genomic.gdc_realn.bam,69bf1591-1498-4946-a919-af654075a7a6,Poly-T Enrichment,
3555f1d7-155f-4145-91b5-e1cd3082dca9.rna_seq.genomic.gdc_realn.bam,6d7148dd-caf9-42c4-8b40-b05e61d67eac,Poly-T Enrichment,
3555f1d7-155f-4145-91b5-e1cd3082dca9.rna_seq.genomic.gdc_realn.bam,3680bcc5-5e16-4e0e-8dc9-b2fc884e0e98,Other,N/A
88733232-2ad6-4f1e-aeaa-5143f289aabe.rna_seq.genomic.gdc_realn.bam,c159f53c-6821-4069-a4de-e70a584538b7,Other,N/A
88733232-2ad6-4f1e-aeaa-5143f289aabe.rna_seq.genomic.gdc_realn.bam,100d2faa-07ed-4cf2-8d56-869afbbe9af8,Poly-T Enrichment,
1e33c967-41d8-47fe-9434-e2ee82c180e8.rna_seq.genomic.gdc_realn.bam,f9ed9436-ca64-42fe-a5cd-bfe095d634be,Other,N/A
1e33c967-41d8-47fe-9434-e2ee82c180e8.rna_seq.genomic.gdc_realn.bam,29bce99e-7117-4aab-836a-281502e03247,Poly-T Enrichment,
70350736-0880-4777-9a68-a5c740a5e390.rna_seq.genomic.gdc_realn.bam,fb872f52-8f03-4a80-a863-13d6397c5576,Other,N/A
70350736-0880-4777-9a68-a5c740a5e390.rna_seq.genomic.gdc_realn.bam,6bb0ba28-6576-4094-98b7-7a605ae2a29d,Poly-T Enrichment,
c7a39e9b-ce36-4b8c-9bd2-7884d7719b9b.rna_seq.genomic.gdc_realn.bam,920c7a8f-134d-4a35-adac-c7daae6dcf96,Poly-T Enrichment,
c7a39e9b-ce36-4b8c-9bd2-7884d7719b9b.rna_seq.genomic.gdc_realn.bam,b0126d2b-35d0-4eda-b26e-4789660d6c88,Other,N/A
